Player,Historic Stats,Injury Probabilities,SeasonInjury,Projected Games Missed,Projected Points
"Tyler Johnson, WR HOU",1|,Very Low Risk,8%,0.6,71.7
"Equanimeous St. Brown, WR CHI",6||||||,High Risk,90%,3.2,68
"Dyami Brown, WR WAS",3|||,Very Low Risk,26%,0.7,65.1
"Rashard Higgins, WR CAR",5|||||,High Risk,88%,3.2,64.2
"Amari Rodgers, WR GB",1|,Very Low Risk,25%,0.6,61.1
"Marquise Goodwin, WR SEA",15|||||||||||||||,Very High Risk,94%,2.4,57.5
"Dante Pettis, WR CHI",4||||,Very High Risk,91%,3.5,56.4
"Marquez Callaway, WR NO",4||||,Very High Risk,92%,3.3,55.5
"Jalen Reagor, WR MIN",4||||,High Risk,80%,2.2,54.9
"Breshad Perriman, WR TB",13|||||||||||||,Medium Risk,79%,3.3,48
"Phillip Dorsett, WR HOU",7|||||||,Low Risk,43%,0.7,47.4
"Andy Isabella, WR ARI",1|,Very Low Risk,12%,0.4,46.9
"N'Keal Harry, WR CHI",6||||||,High Risk,81%,2.4,45.8
"Tylan Wallace, WR BAL",2||,Medium Risk,73%,2.9,41.1
"Tutu Atwell, WR LAR",0.00,Very Low Risk,10%,0.3,37.6
"Denzel Mims, WR NYJ",7|||||||,Medium Risk,78%,3.7,31.8
"Miles Boykin, WR PIT",1|,Very Low Risk,27%,1.4,29.4
"Calvin Ridley, WR ATL",3|||,Low Risk,49%,1.8,0
