"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"384","Kalif Raymond",DET,"WR121","3 out of 5 stars","4 out of 5 stars","-"
"385","Phillip Lindsay",IND,"RB116","3 out of 5 stars","4 out of 5 stars","-"
"386","Larry Rountree III",LAC,"RB117","2 out of 5 stars","2 out of 5 stars","-"
"387","D'Vonte Price",IND,"RB118","3 out of 5 stars","4 out of 5 stars","-"
"388","John Bates",WAS,"TE45","4 out of 5 stars","2 out of 5 stars","-"
"389","Tre'Quan Smith",NO,"WR122","4 out of 5 stars","3 out of 5 stars","-"
"390","Jake Ferguson",DAL,"TE46","3 out of 5 stars","3 out of 5 stars","-"
"391","Kennedy Brooks",PHI,"RB119","2 out of 5 stars","2 out of 5 stars","-"
"392","Zonovan Knight",NYJ,"RB120","4 out of 5 stars","4 out of 5 stars","-"
"393","Pharaoh Brown",HOU,"TE47","3 out of 5 stars","2 out of 5 stars","-"
"394","Riley Patterson",JAC,"K29","5 out of 5 stars","5 out of 5 stars","-"
"395","Brandon Bolden",LV,"RB121","2 out of 5 stars","2 out of 5 stars","-57"
"396","Zach Pascal",PHI,"WR123","4 out of 5 stars","4 out of 5 stars","-"
"397","Ka'imi Fairbairn",HOU,"K30","1 out of 5 stars","1 out of 5 stars","-48"
"398","Donald Parham Jr.",LAC,"TE48","4 out of 5 stars","2 out of 5 stars","-"
"399","Sam Howell",WAS,"QB46","0 out of 5 stars","0 out of 5 stars","-"
"400","Will Dissly",SEA,"TE49","2 out of 5 stars","4 out of 5 stars","-"
"401","Colt McCoy",ARI,"QB47","0 out of 5 stars","0 out of 5 stars","-"
"402","Tyler Johnson",HOU,"WR124","4 out of 5 stars","4 out of 5 stars","-"
"403","Brian Hoyer",NE,"QB48","0 out of 5 stars","0 out of 5 stars","-"
"404","Jalen Reagor",MIN,"WR125","2 out of 5 stars","3 out of 5 stars","-"
"405","Darius Slayton",NYG,"WR126","3 out of 5 stars","3 out of 5 stars","-"
"406","Ben Skowronek",LAR,"WR127","3 out of 5 stars","2 out of 5 stars","-"
"407","Jalen Guyton",LAC,"WR128","3 out of 5 stars","3 out of 5 stars","-"
"408","Adam Trautman",NO,"TE50","3 out of 5 stars","5 out of 5 stars","-"
"409","Jelani Woods",IND,"TE51","1 out of 5 stars","2 out of 5 stars","-"
"410","Anthony McFarland Jr.",PIT,"RB122","3 out of 5 stars","3 out of 5 stars","-"
"411","Taylor Heinicke",WAS,"QB49","0 out of 5 stars","0 out of 5 stars","-"
"412","Cade Otton",TB,"TE52","3 out of 5 stars","3 out of 5 stars","-"
"413","Cole Beasley",TB,"WR129","4 out of 5 stars","4 out of 5 stars","-"
"414","Jordan Love",GB,"QB50","0 out of 5 stars","0 out of 5 stars","-"
"415","Ihmir Smith-Marsette",CHI,"WR130","3 out of 5 stars","2 out of 5 stars","-"
"416","Antonio Brown",FA,"WR131","-","-","-"
"417","O.J. Howard",HOU,"TE53","3 out of 5 stars","2 out of 5 stars","-64"
"418","Samori Toure",GB,"WR132","3 out of 5 stars","4 out of 5 stars","-"
"419","Travis Fulgham",FA,"WR133","-","-","-"
"420","Seth Williams",JAC,"WR134","4 out of 5 stars","4 out of 5 stars","-"
"421","Chris Conley",HOU,"WR135","4 out of 5 stars","4 out of 5 stars","-"
"422","Durham Smythe",MIA,"TE54","3 out of 5 stars","3 out of 5 stars","-"
"423","James Washington",DAL,"WR136","3 out of 5 stars","4 out of 5 stars","-"
"424","Trent Sherfield",MIA,"WR137","2 out of 5 stars","1 out of 5 stars","-"
"425","Dee Eskridge",SEA,"WR138","4 out of 5 stars","4 out of 5 stars","-"
"426","Jamal Agnew",JAC,"WR139","4 out of 5 stars","4 out of 5 stars","-"
"427","Quintez Cephus",DET,"WR140","3 out of 5 stars","4 out of 5 stars","-"
"428","KhaDarel Hodge",ATL,"WR141","3 out of 5 stars","4 out of 5 stars","-"
"429","Dezmon Patmon",IND,"WR142","3 out of 5 stars","3 out of 5 stars","-"
